iPad	あいぱっど	マスター
iPhone	あいふぉん	マスター
iPhone X	あいふぉんえっくす	マスター
iPod	あいぽっど	マスター
iPod Touch	あいぽっどたっち	マスター
ISO	あいえすおー	マスター
iTunes	あいちゅーんず	マスター
JAC	じゃっく	マスター
JavaScript	じゃばすくりぷと	マスター
JAWS	じょーず	マスター
JIS	じす	マスター
JIS規格	じすきかく	マスター
KWCAG	けいだぶるしーえーじー	マスター
label要素	らべるようそ	マスター
li要素	えるあいようそ	マスター
Mac OS	まっくおーえす	マスター
MLB	えむえるびー	マスター
NBA	えぬびーえー	マスター
NETFLIX 	ねっとふりっくす	マスター
NVDA	えぬぶいでぃーえー	マスター
on/off	おんおふ	マスター
Ontenna	おんてな	マスター
Opera	おぺら	マスター
OS	おーえす	マスター
PC-Talker	ぴーしーとーかー	マスター
p要素	ぴーようそ	マスター
QuickTime	くいっくたいむ	マスター
Readableな夜	りーだぶるなよる	マスター
role=“tab”	ろーるいこーるたぶ	マスター
role=“tablist”	ろーるいこーるたぶりすと	マスター
role=“tabpanel”	ろーるいこーるたぶぱねる	マスター
Safari	さふぁり	マスター
scope属性	すこーぷぞくせい	マスター
select要素	せれくとようそ	マスター
Silver	しるばー	マスター
Siri	しり	マスター
src属性	えすあーるしーぞくせい	マスター
src属性	そーすぞくせい	マスター
strong要素	すとろんぐようそ	マスター
SVG	えすぶいじー	マスター
Tabキー	たぶきー	マスター
TalkBack	とーくばっく	マスター
TARGET	たーげっと	マスター
textarea	てきすとえりあ	マスター
The Paciello Group	ざぱちぇろぐるーぷ	マスター
th要素	てぃーえいちようそ	マスター
title属性	たいとるぞくせい	マスター
title要素	たいとるようそ	マスター
Twitter	ついったー	マスター
type属性	たいぷぞくせい	マスター
UAAG	ゆーえーえーじー	マスター
UI	ゆーあい	マスター
UI	ゆうあい	マスター
UK	ゆーけー	マスター
ul要素	ゆーえるようそ	マスター
Unordered List	あんおーだーどりすと	マスター
UX	ゆーえっくす	マスター
UXハニカム	ゆーえっくすはにかむ	マスター
VoiceOver	ぼいすおーばー	マスター
VPAT	ぶいぱっと	マスター
W3C	だぶりゅすりーしー	マスター
W3C	だぶるすりーしー	マスター
W3C	だぶるさんしー	マスター
WAI	うぇい	マスター
WAI-ARIA	うぇいありあ	マスター
WAIC	うぇいく	マスター
WCAG	うぃーけぐ	マスター
WCAG	だぶりゅーしーえーじー	マスター
WCAG	だぶるしーえいじー	マスター
WCAG	だぶりゅーしーえいじー	マスター
Webアクセシビリティ	うぇぶあくせしびりてぃ	マスター
Windows	うぃんどうず	マスター
YouTube	ゆーちゅーぶ	マスター
アクセシビリティ	あくせしびりてぃ	マスター
アクセシブラリ	あくせしぶらり	マスター
アクセシブル	あくせしぶる	マスター
アクティベート	あくてぃべーと	マスター
インクルーシブ	いんくるーしぶ	マスター
インクルーシブデザイン	いんくるーしぶでざいん	マスター
インジケータ	いんじけーた	マスター
インフォアクシア	いんふぉあくしあ	マスター
ウェアラブルデバイス	うぇあらぶるでばいす	マスター
ウエちゃん	うえちゃん	マスター
ウェブアクセシビリティ基盤委員会	うぇぶあくせしびりてぃきばんいいんかい	マスター
エディット	えでぃっと	マスター
エラーメッセージ	えらーめっせーじ	マスター
オブジェクト	おぶじぇくと	マスター
カーソル	かーそる	マスター
カーブカット	かーぶかっと	マスター
キーガード	きーがーど	マスター
キャプション	きゃぷしょん	マスター
コピー&ペースト	こぴーあんどぺーすと	マスター
コピペ	こぴぺ	マスター
コンテキスト	こんてきすと	マスター
コントラスト比	こんとらすとひ	マスター
コンボボックス	こんぼぼっくす	マスター
サーチロボット	さーちろぼっと	マスター
サイト	さいと	マスター
サウスウエスト航空	さうすうえすとこうくう	マスター
ササダンゴマシン	ささだんごましん	マスター
ジェスチャー	じぇすちゃー	マスター
ジョイスティック	じょいすてぃっく	マスター
ショートカット	しょーとかっと	マスター
シングルタップ	しんぐるたっぷ	マスター
スクリーンカーテン	すくりーんかーてん	マスター
スクリーンリーダー	すくりーんりーだー	マスター
スクロール	すくろーる	マスター
スプリットタップ	すぷりっとたっぷ	マスター
スマートスピーカー	すまーとすぴーかー	マスター
セグウェイ	せぐうぇい	マスター
セマンティック	せまんてぃっく	マスター
ダイアログ・イン・サイレンス	だいあろぐいんさいれんす	マスター
ダイアログ・イン・ザ・ダーク	だいあろぐいんざだーく	マスター
タグ	たぐ	マスター
タップ	たっぷ	マスター
タブ	たぶ	マスター
タブパネル	たぶぱねる	マスター
ダブルタップ	だぶるたっぷ	マスター
ディスレクシア	でぃすれくしあ	マスター
データテーブル	でーたてーぶる	マスター
デニーズ	でにーず	マスター
デバイス	でばいす	マスター
トム・クルーズ	とむくるーず	マスター
ドラッグアンドドロップ	どらっぐあんどどろっぷ	マスター
トラックボール	とらっくぼーる	マスター
トリプルタップ	とりぷるたっぷ	マスター
バイパス	ばいぱす	マスター
パンくずリスト	ぱんくずりすと	マスター
ヒューマンリーダブル	ひゅーまんりーだぶる	マスター
ビヨンセ	びよんせ	マスター
ピンチアウト	ぴんちあうと	マスター
ピンチイン	ぴんちいん	マスター
フィールド	ふぃーるど	マスター
フォーカス	ふぉーかす	マスター
フォームコントロール	ふぉーむこんとろーる	マスター
フォールバック	ふぉーるばっく	マスター
フリック	ふりっく	マスター
フレキシブル	ふれきしぶる	マスター
ペイン	ぺいん	マスター
ページタイトル	ぺーじたいとる	マスター
ホームボタン	ほーむぼたん	マスター
マークアップ	まーくあっぷ	マスター
マシンリーダブル	ましんりーだぶる	マスター
ユーザビリティ	ゆーざびりてぃ	マスター
ユニバーサルアクセス	ゆにばーさるあくせす	マスター
ランドマークrole	らんどまーくろーる	マスター
リアルタイム字幕	りあるたいむじまく	マスター
リンクテキスト	りんくてきすと	マスター
リンク先	りんくさき	マスター
ローター	ろーたー	マスター
ロービジョン	ろーびじょん	マスター
運動障害	うんどうしょうがい	マスター
音声認識	おんせいにんしき	マスター
加齢	かれい	マスター
開始タグ	かいしたぐ	マスター
拡大鏡	かくだいきょう	マスター
基盤委員会	きばんいいんかい	マスター
基本の「キ」	きほんのき	マスター
規格票	きかくひょう	マスター
義務化	ぎむか	マスター
経産省	けいさんしょう	マスター
決定ツリー	けっていつりー	マスター
権利条約	けんりじょうやく	マスター
見出しレベル	みだしれべる	マスター
高齢化	こうれいか	マスター
高齢化率	こうれいかりつ	マスター
合成音声	ごうせいおんせい	マスター
合理的配慮	ごうりてきはいりょ	マスター
差別禁止法	さべつきんしほう	マスター
四肢障害	しししょうがい	マスター
支援技術	しえんぎじゅつ	マスター
肢体不自由	したいふじゆう	マスター
字幕グラス	じまくぐらす	マスター
字幕起こし	じまくおこし	マスター
弱視	じゃくし	マスター
終了タグ	しゅうりょうたぐ	マスター
障害	しょうがい	マスター
障害者	しょうがいしゃ	マスター
障害者権利条約	しょうがいしゃけんりじょうやく	マスター
障害者差別解消法	しょうがいしゃさべつかいしょうほう	マスター
障害者政策	しょうがいしゃせいさく	マスター
障害者等	しょうがいしゃとう	マスター
色覚多様性	しきかくたようせい	マスター
色弱	しきじゃく	マスター
色盲	しきもう	マスター
政見放送	せいけんほうそう	マスター
全盲	ぜんもう	マスター
組織委員会	そしきいいんかい	マスター
装飾画像	そうしょくがぞう	マスター
属性	ぞくせい	マスター
代替テキスト	だいたいてきすと	マスター
達成基準	たっせいきじゅん	マスター
知覚可能	ちかくかのう	マスター
聴力	ちょうりょく	マスター
超高速	ちょうこうそく	マスター
超高齢社会	ちょうこうれいしゃかい	マスター
辻ちゃん	つじちゃん	マスター
長押し	ながおし	マスター
提訴	ていそ	マスター
天龍源一郎	てんりゅうげんいちろう	マスター
点字出力	てんじしゅつりょく	マスター
等価	とうか	マスター
同期したメディア	どうきしためでぃあ	マスター
読字障害	どくじしょうがい	マスター
日本語訳	にほんごやく	マスター
入れ子	いれこ	マスター
背景色	はいけいしょく	マスター
配慮設計指針	はいりょせっけいししん	マスター
白内障	はくないしょう	マスター
発話	はつわ	マスター
複数行	ふくすうぎょう	マスター
文字色	もじいろ	マスター
変換候補	へんかんこうほ	マスター
法定義務	ほうていぎむ	マスター
矢印キー	やじるしきー	マスター
要素	ようそ	マスター
老眼	ろうがん	マスター
